title,year,budget,length,rating,votes
Abandon,2002,25000000,99,4,2179
Abbott and Costello Go to Mars,1953,754000,77,5,331
Abbott and Costello Meet Captain Kidd,1952,450000,70,5,150
About a Boy,2002,27000000,101,7,16946
About Schmidt,2002,30000000,125,7,21547
Abschied,1930,15000,80,6,14
Absolute Power,1997,50000000,121,6,7580
Accident,1967,600000,105,7,319
Ace in the Hole,1951,1821052,111,7,1032
Across the Wide Missouri,1951,5000000,78,6,196
Across to Singapore,1928,290000,86,6,53
Acts of Betrayal,1997,3000000,90,4,88
Adam Had Four Sons,1941,488000,81,6,70
Adventure,1945,3500000,135,5,101
Affliction,1997,6000000,114,6,3526
After Hours,1985,4500000,96,7,5187
After Midnight,1989,3000000,90,5,150
After Sex,2000,5000000,96,4,182
After the Sunset,2004,58000000,97,5,1332
Age of Innocence,1977,850000,101,6,46
Agent Cody Banks,2003,26000000,102,5,2386
Agent on Ice,1985,2500000,96,4,15
Aida degli alberi,2001,7000000,75,4,16
Air Bud,1997,3000000,98,4,1192
Air Force One,1997,85000000,124,6,24977
Airborne,1993,2600000,91,5,991
Airmail,1932,305000,84,6,72
Airport,1970,10000000,137,6,2762
Akasha,2001,1500,82,7,26
Aladdin,1992,28000000,90,7,21100
Albino Alligator,1996,5000000,97,6,1962
Alexander,2004,150000000,175,5,8434
Alfie,2004,60000000,103,5,1681
Ali,2001,107000000,159,6,8554
Alias,2002,1500000,98,5,251
Alice,1990,12000000,102,6,1614
Alice in Wonderland,1951,3000000,75,7,4202
Alien,1979,11000000,117,8,60105
Alien Dead,1980,12000,69,2,103
Alien Escape,1997,1000000,85,5,23
Alien Nation,1988,16000000,91,6,2076
Aliens,1986,18500000,137,8,61684
Alive,1993,32000000,127,6,5480
All About the Benjamins,2002,14000000,95,5,1146
All Quiet on the Western Front,1930,1200000,131,8,6506
All the Pretty Horses,2000,45000000,116,5,3010
All the Real Girls,2003,1000000,108,6,1570
All the Vermeers in New York,1990,250000,87,5,122
All Through the Night,1942,750000,107,6,345
Alligator,1980,1000000,89,5,964
Almost Famous,2000,60000000,122,8,36619
Almost You,1985,1000000,96,4,42
Along Came a Spider,2001,28000000,104,6,8965
Along Came Polly,2004,42000000,90,5,8524
Along for the Ride,2000,150000,99,7,12
Always,1989,29500000,106,6,4695
Amadeus,1984,18000000,180,8,35154
Ame agaru,1999,3800000,91,7,410
American Beauty,1999,15000000,122,8,105100
American Desi,2001,250000,100,6,272
American Gigolo,1980,4800000,117,5,2338
American Graffiti,1973,777000,110,7,12133
American History X,1998,10000000,119,8,55449
American Me,1992,16000000,125,6,648
American Outlaws,2001,35000000,94,5,2686
American Pie,1999,11000000,95,6,38891
American Psycho,2000,8000000,101,6,20127
American Raspberry,1977,50000,75,5,16
American Wedding,2003,55000000,96,6,12281
Amistad,1997,40000000,152,7,9950
Amores perros,2000,2000000,153,8,13796
Anaconda,1997,35000000,89,4,9893
Analyze This,1999,30000000,103,6,23258
Anastasia,1997,53000000,94,6,4633
And Baby Makes Three,1949,700000,84,4,20
And Now for Something Completely Different,1971,100000,85,7,3276
And Then Came Summer,2000,2300,115,4,51
Andy,1985,125000,73,8,9
Angel Eyes,2001,38000000,102,5,4492
Angel Heart,1987,17000000,113,7,7853
Animal House,1978,3000000,109,7,16919
Ann Vickers,1933,303000,76,6,45
Anna and the King,1999,75000000,148,6,6391
Anna Christie,1930,376000,89,6,225
Anna Karenina,1935,1152000,95,7,445
Annie,1982,50000000,126,5,3285
Annie Get Your Gun,1950,3768785,107,7,494
Annie Hall,1977,4000000,93,8,20358
Another Language,1933,272297,77,6,12
Another Woman,1988,10000000,84,7,1302
Anthony Adverse,1936,1050500,141,6,188
Anthrax,2001,2500000,90,4,47
Antikiller,2002,5000000,114,5,210
Antitrust,2001,30000000,108,6,6950
Antony and Cleopatra,1972,1600000,138,4,81
Antwone Fisher,2002,12500000,120,7,4101
Antz,1998,60000000,87,7,15539
Any Given Sunday,1999,62000000,150,6,18420
Any Number Can Play,1949,1465641,112,6,61
Anything Else,2003,18000000,108,6,3209
Anything Goes,1936,1100000,92,5,38
Anywhere But Here,1999,23000000,114,5,3800
Apache Woman,1955,80000,69,3,19
Aparte,2002,90000,91,8,22
Apocalypse Now,1979,31500000,153,8,61240
Apt Pupil,1998,14000000,111,6,6391
Arachnophobia,1990,31000000,103,6,8203
Arch of Triumph,1948,5000000,120,5,153
Are These Our Children,1931,400000,84,6,25
Arizona,1940,2000000,121,6,63
Arlington Road,1999,21500000,117,7,16340
Armageddon,1998,140000000,150,5,43146
Armed Response,1986,1500000,86,4,67
Army of Darkness,1993,11000000,81,7,20913
Around the World in Eighty Days,1956,6000000,183,6,2472
Arthur,1981,7000000,97,6,4410
Artists and Models,1955,1500000,109,6,410
As Good as It Gets,1997,50000000,139,7,45835
As You Desire Me,1932,460733,70,5,104
Asburied,2002,2000,8,8,7
Asesino en serio,2002,2500000,84,6,77
Assassins,1995,50000000,132,5,6908
Assault of the Killer Bimbos,1988,250000,85,3,146
Aswang,1994,70000,82,4,77
At Close Range,1986,6500000,111,6,1536
At First Sight,1999,40000000,128,5,3290
At Long Last Love,1975,6000000,118,4,179
At Night with No Curtains,2004,8000,87,1,22
Atlantic City,1980,7200000,104,7,2278
Atlantida,2002,1000000,93,7,9
Atlas,1961,70000,79,4,24
Atrapados,1999,3500,26,9,6
Attack of the Crab Monsters,1957,70000,62,3,195
Attack of the Giant Leeches,1959,70000,62,2,382
Aura,2002,19000,22,9,5
Austin Powers in Goldmember,2002,63000000,94,6,21345
Auto Focus,2002,7000000,105,6,3059
Autumn in New York,2000,40000000,103,4,3506
Avalon,2001,8000000,106,6,2507
Avanti popolo,1986,60000,84,8,49
Avatars,2001,20000,5,4,6
Babe,1995,30000000,89,7,16380
Babes in Arms,1939,748000,93,6,216
Babes on Broadway,1941,940068,118,6,161
Baby Blue,2001,2500000,119,6,95
Baby Boy,2001,16000000,130,6,1391
Baby Face,1933,187000,71,6,239
Baby Geniuses,1999,13000000,97,2,3000
Back to the Future,1985,19000000,111,8,65041
Back to the Future Part II,1989,40000000,108,7,26734
Back to the Future Part III,1990,40000000,118,6,23061
Bad Boy Bubby,1993,750000,112,7,977
Bad Boys,1995,23000000,118,6,14299
Bad Boys II,2003,130000000,147,6,11766
Bad Dreams,1988,4000000,84,4,290
Bad Girls from Mars,1991,52000,86,3,48
Bad Moon,1996,7000000,80,4,480
Bad Santa,2003,18000000,91,7,9693
Bad Taste,1987,150000,91,6,6597
Badkonake sefid,1995,150000,85,7,605
Badlands,1973,500000,95,7,4479
Bait,2000,35000000,119,5,1731
Bamboozled,2000,10000000,135,6,2209
Bananas,1971,2000000,82,7,4014
Band of the Hand,1986,8700000,109,4,357
Bandits,2001,80000000,123,6,11628
Barbarella,1968,9000000,98,5,4400
Barbary Coast,1935,778000,91,6,150
Barbershop,2002,12000000,102,6,4558
Barcelona,1994,3200000,101,6,1511
Barry Lyndon,1975,11000000,184,8,11303
Barton Fink,1991,9000000,116,7,9629
Basic,2003,50000000,98,6,7614
Basic Instinct,1992,49000000,123,6,18536
Batman,1989,35000000,126,7,34772
Batman Forever,1995,100000000,122,5,22676
Batman Returns,1992,80000000,126,6,22542
Batoru rowaiaru,2000,4500000,114,7,10765
Battle Beyond the Stars,1980,2000000,104,4,1012
Battle for the Planet of the Apes,1973,1800000,93,4,2216
Battle of Britain,1969,12000000,133,6,1557
Beach Party,1963,350000,101,5,217
Bean,1997,22000000,90,5,8478
Bean Cake,2001,12000,12,6,33
Beat the Devil,1953,1000000,100,6,971
Beat the Drum,2003,1500000,114,7,13
Beautiful,2000,9000000,112,5,949
Beccerra,2002,3000,30,7,14
Becket,1964,3000000,148,7,1483
Becky Sharp,1935,950000,84,6,94
Bedazzled,2000,48000000,93,5,10786
Bedknobs and Broomsticks,1971,20000000,117,6,2437
Beetle Juice,1988,15000000,92,7,19893
Before Sunrise,1995,2500000,105,7,8042
Before Sunset,2004,10000000,80,8,6302
Begotten,1991,33000,78,5,385
Behind Enemy Lines,2001,40000000,106,6,10071
Behold a Pale Horse,1964,3900000,118,6,101
Being Human,1993,30000000,122,4,932
Being John Malkovich,1999,13000000,112,7,52086
Bela Lugosi Meets a Brooklyn Gorilla,1952,50000,74,2,148
Belle of the Nineties,1934,800000,73,6,82
Bells Are Ringing,1960,2203123,127,6,338
Belly,1998,10000000,96,4,956
Belly of the Beast,2003,18000000,91,4,546
Beloved,1998,53000000,172,5,1855
Beneath the Planet of the Apes,1970,3000000,95,5,3420
Benji,1974,500000,86,5,640
Beowulf,1999,20000000,95,3,1951
Best Foot Forward,1943,1125502,94,6,85
Best in Show,2000,6000000,90,7,11244
Best Laid Plans,1999,7000000,92,6,1722
Better Luck Tomorrow,2002,250000,101,7,2519
Beverly Hills Cop,1984,15000000,105,7,15478
Beverly Hills Cop II,1987,20000000,100,5,9861
Beverly Hills Cop III,1994,50000000,104,4,6089
Beyond Atlantis,1973,200000,91,3,44
Beyond Borders,2003,35000000,127,5,1641
Beyond Rangoon,1995,23000000,100,6,1236
Beyond the Mat,1999,500000,102,7,2155
Beyond the Sea,2004,24000000,121,6,727
Beyond the Time Barrier,1960,125000,75,4,75
Beyond the Valley of the Dolls,1970,900000,109,5,1499
Bicentennial Man,1999,100000000,132,6,8274
Big,1988,18000000,104,7,17773
Big Bully,1996,15000000,90,4,735
Big Daddy,1999,34200000,93,5,17105
Big Fat Liar,2002,15000000,88,5,2269
Big Fish,2003,70000000,125,8,27696
Big Jim McLain,1952,826000,90,4,253
Big Trouble,2002,40000000,85,6,3769
Big Trouble in Little China,1986,25000000,99,6,10240
Big Wednesday,1978,11000000,120,6,759
Bikini Beach,1964,600000,99,4,142
Billy Elliot,2000,5000000,110,7,15976
Billy Jack,1971,800000,114,5,939
Biohazard,1984,250000,84,3,39
Bird,1988,9000000,161,7,1140
Birth,2004,20000000,100,6,1290
Birth of the Blues,1941,857283,87,5,44
Birthday Girl,2001,13000000,93,6,4964
Black and White,1999,10000000,98,5,1613
Black Gold,1947,450000,90,5,16
Black Hawk Down,2001,90000000,144,7,30414
Black Hills,1948,414000,60,5,10
Black Knight,2001,50000000,95,4,3537
Black Legion,1937,235000,83,6,204
Black Rain,1989,14000000,125,6,5335
Black Snake,1973,300000,82,3,58
Blade,1998,45000000,120,6,22799
Blade II,2002,55000000,117,6,15775
Blade Runner,1982,28000000,117,8,71455
Blanche Fury,1947,1500000,90,6,66
Blast from the Past,1999,35000000,112,6,9003
Blazing Saddles,1974,2600000,93,7,16348
Bless the Child,2000,40000000,107,5,3628
Blind Husbands,1919,125000,68,7,73
Blitz,2002,5000,28,7,5
Blondie of the Follies,1932,602620,91,5,42
Blood Alley,1955,2000000,115,5,296
Blood and Wine,1996,26000000,101,6,2006
Blood Feast,1963,24500,67,4,487
Blood Money,1933,238591,65,7,20
Blood of the Samurai,2001,2000,75,6,18
Blood Shot,2002,35000,28,6,19
Blotter,2004,15000,20,7,7
Blow,2001,30000000,124,7,17160
Blow Out,1981,18000000,108,7,3335
Blowup,1966,1800000,111,7,3842
Blue Crush,2002,30000000,104,5,4469
Blue Hill Avenue,2001,1200000,120,6,71
Blue in the Face,1995,2000000,83,6,2206
Blue Moon,1998,1000,90,7,22
Blue Skies,1946,3000000,104,6,152
Blue Streak,1999,36000000,93,5,7478
Blue Velvet,1986,6000000,120,7,17633
Boat Trip,2002,20000000,94,4,2625
Body Double,1984,10000000,114,6,3376
Body of Evidence,1993,30000000,99,4,2486
Body Parts,1991,10000000,88,4,571
Bogus,1996,32000000,110,5,935
Boiler Room,2000,9000000,118,6,8101
Bombshell,1933,344000,96,7,264
Bones,2001,16000000,96,4,1331
Bonnie and Clyde,1967,2500000,111,7,12135
Boogie Nights,1997,15000000,152,7,25977
Boom,1968,10000000,113,3,154
Boom Town,1940,2000000,119,6,285
Boomerang,1992,42000000,118,5,3311
Born on the Fourth of July,1989,14000000,145,7,10780
Born to Be Bad,1934,252238,61,5,36
Bottle Rocket,1996,7000000,92,7,6773
Bottomfeeders,2001,500000,92,7,7
Bounce,2000,35000000,106,5,5169
Bound,1996,4500000,108,7,11434
Bound by Honor,1993,35000000,180,7,2278
Bowfinger,1999,55000000,97,6,14220
Bowling for Columbine,2002,4000000,120,8,34321
Boxcar Bertha,1972,600000,92,5,512
Boxed,2002,500000,80,6,7
Boys and Girls,2000,16000000,94,4,3309
Boys Beware,1961,1000,10,5,14
Boys in the Sand,1971,8000,90,7,14
Boys Night Out,1996,30000,34,7,9
Boys on the Side,1995,21000000,115,6,2653
Boyz n the Hood,1991,6000000,107,7,9708
Braindead,1992,3000000,104,7,10810
Brainstorm,1983,15000000,106,6,1875
Braveheart,1995,72000000,177,8,87585
Brazil,1985,15000000,131,8,29326
Break Up,1998,9000000,100,5,382
Breakdown,1997,36000000,95,6,6737
Breakfast of Champions,1999,12000000,110,4,2130
Breaking All the Rules,1985,2032000,91,4,67
Breathing Room,1996,500000,90,4,38
Bride of Chucky,1998,25000000,89,5,4139
Bride of Frankenstein,1935,397000,75,8,4566
Bridge of Dragons,1999,4000000,92,3,342
Brigadoon,1954,2352625,108,6,1083
Brigham City,2001,1000000,119,6,393
Bring It On,2000,10000000,98,6,11056
Bring Me the Head of Alfredo Garcia,1974,1500000,112,7,974
Bringing Down the House,2003,35000000,105,5,6054
Bringing Out the Dead,1999,32000000,121,6,13310
Broadway Bad,1933,239308,61,5,8
Broadway Danny Rose,1984,8000000,84,7,2494
Broken Arrow,1996,65000000,108,5,13713
Broken Blossoms,1919,88000,90,7,741
Broken Lullaby,1932,889154,76,7,63
Broken Vessels,1998,600000,90,5,218
Brother,2000,12000000,114,7,3998
Brown Sugar,2002,8000000,109,5,874
Bruce Almighty,2003,81000000,101,6,21654
Bruno,2000,10000000,108,5,282
Bubble Boy,2001,13000000,84,5,2702
Buck Privates,1941,180000,84,6,339
Budbringeren,1997,2100000,83,6,709
Buddy Buddy,1981,10000000,96,6,700
Buena onda,1999,2000,11,6,8
Buffalo Soldiers,2001,15000000,98,7,3342
Bugsy,1991,40000000,134,6,3961
Bull Durham,1988,7000000,108,7,8067
Bulldog Drummond,1929,550000,90,6,81
Bulletproof,1988,5000000,93,3,150
Bulletproof Monk,2003,52000000,104,5,4944
Bullets Over Broadway,1994,20000000,98,7,6410
Bullitt,1968,5500000,113,7,5770
Bulworth,1998,30000000,108,6,7992
Bumer,2003,700000,110,6,229
Burying Dvorak,2003,5000,19,9,7
Cabaret,1972,6000000,124,7,6727
Cabin in the Sky,1943,662141,98,7,241
Cabiria,1914,210000,162,7,198
Cachimba,2004,950000,127,8,9
Caddyshack,1980,6000000,98,7,12748
Cafe Society,1995,3500000,104,5,135
Caged Heat,1974,180000,83,5,286
Calendar Girl,1993,13000000,90,4,423
California Casanova,1991,350000,90,4,30
Call Her Savage,1932,489652,89,6,84
Calling Bobcat,2000,230000,91,4,39
Callous Sentiment,2002,10000,13,8,10
Camelot,1967,17000000,179,6,1162
Camille,1936,1486000,109,7,631
Camp Slaughter,2004,350000,95,2,158
Canadian Bacon,1995,11000000,91,5,3279
Candyman,1992,8000000,99,6,4458
Cape Fear,1991,35000000,128,7,14646
Cape of Good Hope,2004,3000000,107,9,11
Capricorn One,1978,5000000,123,6,2460
Captain Blood,1935,1200000,119,7,1549
Captain EO,1986,17000000,17,5,523
Captain from Castile,1947,4500000,140,6,164
Captains Courageous,1937,1645000,115,7,1082
Caravans,1978,14000000,127,5,50
Carefree,1938,1253000,83,6,282
Carlos contra el mundo,2002,1000000,91,5,15
Carmen Jones,1954,750000,105,6,494
Carnage,1986,32500,91,2,29
Carnival of Souls,1962,30000,91,7,1678
Carpool,1996,17000000,89,4,792
Carrie,1976,1800000,98,7,11066
Casablanca,1942,950000,102,8,63449
Casino,1995,52000000,178,7,25612
Casino Royale,1967,12000000,131,5,3913
Casper,1995,55000000,100,5,8286
Casshern,2004,6000000,141,6,785
Cast Away,2000,90000000,143,7,32584
Casualties of War,1989,22500000,113,6,4184
Cat on a Hot Tin Roof,1958,3000000,108,7,4608
Cat People,1942,134000,73,7,1165
Catch Me If You Can,1989,800000,106,4,90
Catch Me If You Can,2002,52000000,141,7,36703
Catch That Kid,2004,18000000,91,4,521
Catwoman,2004,85000000,104,3,7025
Cavalcade,1933,1180280,110,6,294
Celebrity,1998,12000000,113,6,4590
Cellar Doors,1989,7000,40,7,23
Cellular,2004,25000000,94,6,3657
Central Airport,1933,356000,72,5,33
Central do Brasil,1998,2900000,113,7,8698
Chacun cherche son chat,1996,300000,91,6,1048
Chafed Elbows,1966,25000,63,2,16
Chain Reaction,1996,55000000,106,5,5610
Chalk,1996,400000,134,8,13
Chan Is Missing,1982,20000,80,6,128
Chance,2002,150000,80,8,406
Chandu the Magician,1932,349456,71,5,69
Changing Habits,1997,1200000,95,5,131
Changing Lanes,2002,45000000,99,6,12021
Chapter Zero,1999,1500000,104,5,45
Charade,1963,4000000,113,8,8620
Chariots of Fire,1981,5500000,123,7,6278
Charlie,2004,5000000,95,4,124
Charlie Chan at Treasure Island,1939,120000,72,7,106
Charlie Chan in Black Magic,1944,75000,67,5,71
Charlie Chan in London,1934,100000,79,6,124
Charlie Chan in Paris,1935,110000,72,6,104
Charlie Chan in The Chinese Cat,1944,75000,65,6,87
Charlie Chan in the Secret Service,1944,75000,63,6,79
Charlotte Sometimes,2002,80000,85,4,528
Charly,2002,950000,103,5,141
Charming Billy,1999,250000,82,5,38
Chasing Amy,1997,250000,111,7,30768
Cheaper by the Dozen,2003,40000000,98,5,5304
Cheetah,1989,5000000,83,5,110
Cherish,2002,1500000,99,6,672
Cherry Falls,2000,14000000,92,4,2045
Cheyenne Autumn,1964,4200000,154,6,520
Chicago,2002,45000000,113,7,32516
Chicken Run,2000,42000000,84,7,24119
Children of the Corn,1984,3000000,93,4,3292
Children On Their Birthdays,2002,10000000,102,6,145
Chill Factor,1999,34000000,101,5,2430
China Lake,1983,3000,34,7,15
Chinatown,1974,6000000,131,8,24352
Chitty Chitty Bang Bang,1968,10000000,144,6,3017
Choke,1999,550000,98,5,65
Christine,1983,9700000,110,5,5348
Christmas with the Kranks,2004,60000000,98,4,1282
Christopher Strong,1933,284000,78,6,146
Chronotrip,2002,10000,74,4,6
Ciao America,2002,5000000,100,4,26
Cidade de Deus,2002,3300000,130,8,22199
Cimarron,1931,1433000,131,6,292
Cinderella,1950,2900000,74,7,5197
Cinderfella,1960,3000000,91,5,384
Circle of Iron,1978,4000000,102,4,345
Circus World,1964,9000000,135,5,197
Citizen Kane,1941,686033,119,8,58856
Citizen Ruth,1996,3000000,102,6,1328
City by the Sea,2002,60000000,108,6,4532
City Hall,1996,40000000,111,6,4129
City Lights,1931,1500000,87,8,7438
City of Angels,1998,55000000,114,6,14576
City of Ghosts,2002,17500000,116,5,762
City of Hope,1991,3000000,129,7,621
City of Industry,1997,8000000,97,5,1205
City on Fire,1979,5300000,104,3,118
Civil Brand,2002,500000,95,3,94
Claire of the Moon,1992,130000,107,3,202
Clash of the Titans,1981,15000000,118,6,3641
Clay Pigeons,1998,8000000,104,6,2507
Clear and Present Danger,1994,65000000,141,6,12470
Clearing the Range,1931,60000,61,4,6
Cleopatra,1917,500000,125,9,22
Cleopatra,1963,44000000,192,6,2456
Cliffhanger,1993,65000000,118,6,11769
Clockers,1995,25000000,128,6,2900
Clockstoppers,2002,26000000,94,5,2403
Close Encounters of the Third Kind,1977,20000000,135,7,25249
Clown Princes,1939,21243,11,6,8
Club Dread,2004,9000000,104,5,2905
Clue,1985,15000000,94,6,8317
Clueless,1995,20000000,97,6,15786
Coil,2001,12000,79,7,11
Cold Heart,2001,3000000,95,4,130
Cold Hearts,1999,900000,90,3,126
Cold Mountain,2003,83000000,152,7,13960
Collateral Damage,2002,85000000,108,5,8044
Color Me Blood Red,1965,50000,79,3,119
Color of Night,1994,40000000,121,4,4389
Combat Shock,1986,40000,85,5,227
Coming to America,1988,28000000,116,6,12292
Command Decision,1948,3700000,112,7,249
Commandments,1997,5000000,88,5,452
Committed,2000,3000000,98,5,700
Company Jasmine,2001,150000,55,8,47
Con Air,1997,75000000,115,6,25206
Conan the Barbarian,1982,20000000,129,6,12887
Condemned,1929,600000,86,5,37
Confessions of a Dangerous Mind,2002,29000000,113,7,10435
Confessions of a Nazi Spy,1939,1500000,104,6,126
Confessions of a Teenage Drama Queen,2004,15000000,89,4,1857
Confidence,2003,15000000,97,6,5619
Congo,1995,50000000,109,4,7751
Conquest,1937,2732000,113,6,155
Conquest of the Planet of the Apes,1972,1700000,88,5,2145
Conspiracy Theory,1997,75000000,135,6,14684
Contact,1997,90000000,153,7,35063
Convention City,1933,239000,69,4,5
Cool as Ice,1991,6000000,100,2,1249
Cop Land,1997,15000000,104,6,11972
Copycat,1995,20000000,123,6,7471
Coquette,1929,489106,76,4,82
Corky Romano,2001,11000000,86,4,2311
Cotton Comes to Harlem,1970,1200000,97,6,186
Cotton Mary,1999,3500000,124,5,149
Courage Under Fire,1996,46000000,117,6,8515
Coyote Ugly,2000,45000000,100,5,12480
CQ,2001,7000000,88,6,1235
Crack in the World,1965,600000,96,5,236
Cradle Will Rock,1999,32000000,132,6,3226
Crank Calls,2002,40000,10,6,21
Crazy in Alabama,1999,15000000,111,6,1992
Creature,1985,4000000,97,3,269
Creepozoids,1987,75000,72,2,144
Creepshow,1982,8000000,120,6,3435
Crimes and Misdemeanors,1989,19000000,107,7,6956
Crimes of the Future,1970,20000,70,4,83
Crimson Tide,1995,53000000,116,7,13394
Crisis,1950,1616455,95,6,181
Critical Care,1997,12000000,107,5,373
Critters,1986,2000000,82,5,2044
Crocodile Dundee in Los Angeles,2001,25000000,92,4,2544
Crooklyn,1994,14000000,115,6,1051
Cross of Iron,1977,6000000,133,7,2389
Crossfire,1947,250000,86,7,556
Crossplot,1969,1000000,96,3,42
Crossroads,2002,12000000,93,3,8011
Cruel Intentions,1999,11000000,97,6,24091
Cry of the Banshee,1970,500000,87,4,161
Cujo,1983,5000000,91,5,2742
Curdled,1996,2309723,88,5,914
Curly Sue,1991,30000000,101,4,1965
Curse of the Puppet Master,1998,250000,90,2,246
Curse of the Queerwolf,1988,10000,90,2,55
Cutaway,2000,9000000,104,5,359
Cutthroat Island,1995,92000000,119,5,3735
Cyborg,1989,2000000,86,3,2179
Cypher,2002,7500000,95,7,2792
Daddy Day Care,2003,60000000,92,5,3424
Dagon,2001,4800000,95,5,1415
Daisy Miller,1974,2000000,91,5,160
Damaged Lives,1933,10000,61,4,12
Dances with Wolves,1990,19000000,180,7,27158
Dancing in September,2000,850000,107,6,156
Dancing Lady,1933,923055,92,6,162
Dangerous Liaisons,1988,14000000,119,7,12071
Dangerous Money,1946,75000,66,5,27
Daredevil,2003,75000000,103,5,20035
Daredevils of the Red Circle,1939,126118,211,7,45
Dark Alibi,1946,75000,61,6,26
Dark Blue,2002,15000000,118,6,3505
Dark City,1998,27000000,100,7,22202
Dark Command,1940,1000000,94,6,281
Dark Manhattan,1937,24900,70,4,11
Dark Star,1974,60000,83,6,3356
Darklands,1997,750000,90,3,100
Darkman,1990,16000000,96,6,5821
Darkness Falls,2003,11000000,86,4,4533
Darling Lili,1970,25000000,136,5,271
Daughter of the Sun,1962,11000,60,1,8
David Searching,1997,22500,101,7,33
Dawn of the Dead,1978,1500000,126,7,11652
Dawn of the Dead,2004,28000000,100,7,14107
Day of Independence,2003,200000,27,1,5
Day of the Animals,1977,1200000,97,4,144
Day of the Dead,1985,3500000,102,6,4593
Day of the Fight,1951,3900,16,6,247
Day the World Ended,1956,96000,79,4,225
Daylight,1996,80000000,115,5,6559
Days of Thunder,1990,60000000,107,5,9182
Dead End,1937,900000,93,7,696
Dead Heat,1988,5000000,86,4,439
Dead Man,1995,9000000,121,7,9391
Dead Man on Campus,1998,14000000,96,5,2679
Dead Man Walking,1995,11000000,122,7,15493
Dead of Night,1974,235000,88,6,175
Dead Poets Society,1989,16400000,128,7,41508
Dead Presidents,1995,15000000,119,6,2470
Dead Ringer,1964,1200000,115,6,403
Deadfall,2000,13000,86,5,24
Deadly Blessing,1981,2500000,100,4,294
Deadly Harvest,1977,250000,87,5,32
Death Becomes Her,1992,55000000,103,5,9340
Death to Smoochy,2002,55000000,109,6,7389
Deathrow Gameshow,1987,200000,83,3,55
Decay,1998,15000,80,6,8
Decision,1995,5000,90,8,6
Deconstructing Harry,1997,20000000,96,7,6996
Decoys,2004,5000000,95,4,475
Deep Blue,2003,5000000,83,7,312
Deep Blue Sea,1999,78000000,105,5,16766
Deep Impact,1998,75000000,120,5,21661
Deep Rising,1998,45000000,106,5,4364
Deep Throat,1972,22000,61,5,1035
Delayed,2002,20000,103,2,15
Deliverance,1972,2000000,109,7,13716
Dellamorte Dellamore,1994,4000000,105,7,2197
Demetrius and the Gladiators,1954,4500000,101,6,351
Demon Knight,1995,12000000,92,6,2093
Demoni,1985,1800000,88,5,1095
Denial,1998,5000000,93,5,270
Derailed,2002,18000000,89,3,996
Dersu Uzala,1975,4000000,141,8,2375
Desecration,1999,150000,88,4,94
Desert Hearts,1985,350000,96,6,585
Desire,1993,1000000,95,4,30
Desperado,1995,7000000,106,6,16764
Desperate Characters,1971,400000,87,5,39
Desperate Living,1977,65000,90,7,559
Desperately Seeking Susan,1985,4500000,104,5,4678
Destino,2003,1500000,7,7,140
Deterrence,1999,800000,101,6,754
Detour,1945,30000,67,7,1045
Detroit Rock City,1999,15000000,95,5,4325
Deuces Wild,2002,10000000,96,5,1431
Devil Dogs of the Air,1935,350000,85,5,40
Dial M for Murder,1954,1400000,105,7,7521
Diamonds Are Forever,1971,7200000,120,6,8271
Dick,1999,13000000,94,6,4785
Dick Tracy,1990,47000000,103,5,9406
