title,year,budget,length,rating,votes
Die Another Day,2002,142000000,133,6,20723
Die Hard,1988,28000000,131,8,56639
Die xue jie tou,1990,3500000,136,7,1695
Dill Scallion,1999,500000,91,4,134
Dillinger,1945,193000,70,6,92
Diner,1982,5000000,110,7,3313
Dinner at Eight,1933,435000,113,7,936
Dinosaur,2000,127500000,82,6,5554
Diplomatic Siege,1999,45000000,90,3,326
Dirigible,1931,650000,100,5,45
Dirty Pretty Things,2002,10000000,97,7,5570
Dirty Work,1998,13000000,82,5,3997
Disturbing Behavior,1998,15000000,84,5,4375
Do the Right Thing,1989,6500000,120,7,8742
Doctor Dolittle,1967,18000000,145,5,992
Doctor Dolittle,1998,71500000,85,5,7805
Doctor Zhivago,1965,11000000,197,7,9774
Dogma,1999,10000000,130,7,41076
Domestic Disturbance,2001,53000000,89,5,4165
Dominion,1995,1300000,95,5,84
Don Juan DeMarco,1995,25000000,97,6,6384
Dong er shi er tiao,1997,2000,14,3,10
Donnie Brasco,1997,35000000,127,7,18470
Donnie Darko,2001,4500000,133,8,45652
Doppelganger,1993,3000000,104,4,444
Double Impact,1991,16000000,118,4,2576
Double Indemnity,1944,927262,107,8,11051
Double Jeopardy,1999,40000000,105,5,12939
Double Take,2001,24000000,88,4,1441
Double Tap,1997,8000000,87,5,179
Down and Out with the Dolls,2001,1200000,88,6,36
Down by Law,1986,1100000,107,7,4209
Down Time,2001,20000,90,6,50
Down to Earth,2001,30000000,87,5,3494
Down to You,2000,9000000,91,4,3087
Downtime,1985,16000,62,4,6
Dracula,1992,40000000,128,7,18750
Dragnet,1954,500000,88,6,109
Dragonfly,2002,60000000,104,5,5060
Dragonslayer,1981,18000000,108,6,1864
Dragonwyck,1946,1900000,103,6,201
Dragstrip Girl,1957,100000,69,4,14
Dream with the Fishes,1997,1000000,97,6,605
Dreamcatcher,2003,68000000,136,5,9471
Dressed to Kill,1980,6500000,105,6,3285
Drive,1997,3500000,100,6,1022
Drive Me Crazy,1999,8000000,91,5,2789
Driven,2001,72000000,116,4,6701
Driving Miss Daisy,1989,7500000,99,7,8185
Drop Back Ten,2000,600000,93,4,27
Drop Squad,1994,2000000,86,3,143
Drop Zone,1994,45000000,101,5,2941
Drowning Mona,2000,16000000,95,5,3265
Drugstore Cowboy,1989,2500000,100,7,4793
Drum,2004,3600,94,3,18
Drumline,2002,20000000,118,5,6735
Du Barry Was a Lady,1943,1239222,101,6,116
Due occhi diabolici,1990,9000000,120,5,492
Duel at Apache Wells,1957,150000,69,5,12
Duel in the Sun,1946,8000000,138,7,778
Duets,2000,15000000,112,5,2313
Dumbo,1941,950000,64,7,6266
Dune,1984,45000000,137,6,16124
Duplex,2003,40000000,89,5,3751
Earth Girls Are Easy,1988,10000000,100,5,3766
Earthquake,1974,7000000,123,5,1994
East of Hope Street,1998,100000,88,5,12
Easter Parade,1948,2503654,107,7,888
Easy Rider,1969,340000,94,7,9527
Eating Out,2004,50000,90,7,131
Eating Raoul,1982,350000,90,6,1287
Eban and Charley,2000,30000,86,4,96
Ed and His Dead Mother,1993,1800000,93,5,395
Ed Mort,1997,1500000,102,6,70
Ed Wood,1994,18000000,127,8,22090
Eddie,1996,30000000,100,5,1283
Edge of Eternity,1959,700000,80,5,43
Edtv,1999,60000000,122,6,9581
Edward Scissorhands,1990,20000000,105,7,24869
Eegah,1962,15000,90,1,1179
Ehad Mishelanu,1989,500000,110,7,29
Eight Legged Freaks,2002,30000000,99,5,5957
Eight Men Out,1988,6000000,119,7,3486
El Cid,1961,8000000,182,7,1331
Election,1999,8500000,103,7,16653
Elephant,2003,3000000,81,7,8057
Elf,2003,33000000,95,7,9029
Elizabeth,1998,25000000,124,7,14150
Ella Enchanted,2004,35000000,96,6,2042
Elmer Gantry,1960,3000000,146,7,1681
Embrace of the Vampire,1994,800000,92,4,1469
Emma,1996,6000000,121,6,6166
Empire,2002,3500000,90,5,1603
Empire of the Sun,1987,38000000,154,7,9318
End of Days,1999,83000000,121,5,17427
Enemy at the Gates,2001,70000000,131,7,17853
Enemy of the State,1998,90000000,131,7,21975
Enough,2002,38000000,115,4,4026
Enter the Dragon,1973,850000,98,7,7538
Entrapment,1999,66000000,113,6,17568
Equilibrium,2002,20000000,107,7,15792
Eraser,1996,100000000,115,5,13915
Eraserhead,1977,10000,89,7,6710
Erin Brockovich,2000,51000000,130,7,23091
Ernest Goes to Camp,1987,3000000,92,4,1462
Ernest Rides Again,1993,7000000,96,3,238
Ernest Saves Christmas,1988,6000000,95,4,1064
Erotica,1961,4000,68,2,14
Escanaba in da Moonlight,2001,1000000,91,5,360
Escape from Chernobourg,1999,2000,75,3,18
Escape from New York,1981,6000000,99,6,9303
Escape from the Planet of the Apes,1971,2500000,98,5,2812
Eskimo,1933,950000,117,6,27
Eternal Sunshine of the Spotless Mind,2004,20000000,108,8,36913
Eulogy,2004,10000000,91,7,197
EuroTrip,2004,25000000,90,6,6645
Evelyn,2002,10000000,94,7,1039
Even Cowgirls Get the Blues,1993,8000000,101,4,1524
EvenHand,2002,500000,92,7,145
Event Horizon,1997,60000000,96,5,14719
Ever After,1998,26000000,121,7,9759
Ever in My Heart,1933,243000,68,5,33
Evergon,2002,20000,32,7,21
Everyone Says I Love You,1996,20000000,101,6,7028
Everything Put Together,2000,500000,87,7,138
Evil Dead II,1987,3000000,85,7,14773
Evita,1996,55000000,134,6,8057
Evolution,2001,80000000,101,5,13251
Excessive Force,1993,13000000,90,4,200
Executive Decision,1996,55000000,134,6,7275
Exit Wounds,2001,33000000,101,5,5033
Exodus,1960,4000000,208,6,1061
Expiration,2003,50000,102,6,198
Exquisite Corpse,2004,3500,60,8,16
Extreme Measures,1996,38000000,118,5,3225
Extreme Ops,2002,40000000,93,3,1239
Eye for an Eye,1996,20000000,101,5,1755
Eye of the Beholder,1999,15000000,109,4,5308
Eyes of Laura Mars,1978,7000000,104,5,1116
Eyes Wide Shut,1999,65000000,159,7,35862
Facade,2000,6000000,93,4,89
Faces,1968,275000,130,7,697
Fair Game,1995,50000000,91,3,2442
Fair Wind to Java,1953,1250000,92,5,41
Faithful,1996,13000000,91,5,397
Faithless,1932,203420,77,6,38
Fake ID,2003,100000,86,3,34
Falasha,1983,300000,79,2,50
Fall,1997,1000000,93,5,470
Fall,2000,2000000,97,1,240
Falling Words,1997,8000,19,8,8
Family Plot,1976,3000000,121,6,2074
Fando y Lis,1967,100000,93,6,197
Fantasia,1940,2280000,120,7,14275
Far and Away,1992,30000000,140,6,8045
Far from Heaven,2002,13500000,107,7,8597
Fargo,1996,7000000,98,8,62467
Fast Food High,2003,4500000,92,5,17
Fast Times at Ridgemont High,1982,4500000,90,7,9794
Fatal Attraction,1987,14000000,123,6,8126
Father of the Bride Part II,1995,30000000,106,5,3840
Fear and Desire,1953,20000,68,6,201
Fear and Loathing in Las Vegas,1998,18500000,118,7,19548
Fear of the Dark,2001,30000,150,5,8
FearDotCom,2002,42000000,101,3,4703
Federal Hill,1994,80000,97,5,131
Feet First,1930,647000,93,6,71
Female,1933,286000,60,6,111
Female Trouble,1974,25000,89,7,818
Femme Fatale,2002,35000000,114,6,5687
Feng yun xiong ba tian xia,1998,10000000,128,6,873
Festen,1998,1300000,105,8,11431
Fever Pitch,2001,25000,27,4,34
Fiddler on the Roof,1971,9000000,181,7,5601
Fight Club,1999,63000000,139,8,105247
Fighting Coast Guard,1951,532111,86,6,14
Fighting Mad,1976,600000,90,5,54
Film School Confidential,2002,75000,82,6,16
Final,2001,80000,111,4,300
Final Destination,2000,23000000,98,6,15567
Final Solution,2001,1500000,110,7,30
Finding Forrester,2000,43000000,136,7,12778
Finding Graceland,1998,10000000,97,6,489
Firestarter,1984,15000000,114,5,2670
Firestorm,1998,19000000,89,4,920
First Blood,1982,14000000,97,6,11059
First Knight,1995,75000000,134,5,8278
Fish in a Barrel,2001,200000,85,5,56
Five Graves to Cairo,1943,855000,96,7,335
Fiza,2000,1000000,170,7,119
Flame of Barbary Coast,1945,600000,91,5,117
Flash Gordon,1980,35000000,111,5,5334
Flawless,1999,27000000,112,6,3101
Flesh,1968,4000,105,5,267
Flesh Suitcase,1995,1000000,90,5,28
Flesheater,1988,60000,88,4,95
Flight of the Phoenix,2004,45000000,113,6,742
Flip,2004,8000,15,9,9
Flirting with Disaster,1996,7000000,92,7,3783
Flossin,2001,86000,78,9,6
Flying Down to Rio,1933,462000,89,6,365
Follow Me Home,1996,220000,100,7,48
Follow Me Outside,2000,1000000,94,4,12
Follow the Fleet,1936,747000,110,7,338
Following,1998,6000,69,7,2972
Fomlesen i kattepine,1999,2400000,83,4,16
Food of the Gods II,1989,3500000,91,2,162
Foolish Wives,1922,1100000,117,7,183
Footlight Parade,1933,703000,104,7,363
For Love of the Game,1999,50000000,137,6,5515
For Me and My Gal,1942,802000,104,6,299
For Whom the Bell Tolls,1943,3000000,170,7,1002
For Your Eyes Only,1981,28000000,127,6,7633
Forbidden Planet,1956,1900000,98,7,6447
Forced March,1989,2700000,104,4,16
Foreign Correspondents,1999,500000,102,7,113
Forever Amber,1947,6000000,138,6,139
Forrest Gump,1994,55000000,142,8,85292
Fort Apache,1948,2500000,125,7,1753
Fortress,1993,12000000,95,5,2421
Four Dead Batteries,2004,77000,96,8,18
Four Rooms,1995,4000000,98,6,9991
Four Weddings and a Funeral,1994,6000000,117,7,16981
Frailty,2001,11000000,100,7,9820
Francis,1950,150000,91,6,150
Frankenhooker,1990,2500000,85,4,486
Frankenstein,1931,291000,71,7,5650
Frankenstein,1994,45000000,123,6,6505
Frankie and Johnny,1966,4500000,87,5,188
Freaked,1993,11000000,86,5,845
Freaks,1932,310607,64,7,3854
Freaky Friday,2003,26000000,97,7,7323
Freddy Got Fingered,2001,15000000,87,3,8555
Free Money,1998,30000000,91,4,577
Freedom Downtime,2001,25000,121,8,203
Freeway,1996,3000000,110,6,4725
Frei parken,1998,2000,7,5,7
Freighters of Destiny,1931,39000,57,5,15
Frenzy,1972,3500000,116,7,3438
Frequency,2000,31000000,118,7,14556
Freud,1962,4000000,139,6,187
Freud and Darwin Sitting in a Tree,2000,17000,27,8,9
Frida,2002,12000000,123,7,7984
Friday,1995,3500000,91,6,6610
Friday After Next,2002,20000000,85,4,1496
Fright Night,1985,9000000,106,6,3402
Frisco Jenny,1932,286000,73,6,35
Fritz the Cat,1972,1000000,78,5,1046
From Beyond,1986,4500000,85,5,837
From Dusk Till Dawn,1996,20000000,108,6,26857
From Hell,2001,35000000,122,6,16026
From Here to Eternity,1953,1650000,118,7,5692
From Justin to Kelly,2003,12000000,81,1,6626
From Russia with Love,1963,2000000,115,7,9752
Fukkatsu no hi,1980,16000000,155,5,129
Full Clip,2004,500000,95,4,55
Full Frontal,2002,2000000,101,5,2879
Full Metal Jacket,1987,30000000,116,8,45023
Fun with Dick and Jane,1977,3000000,95,6,478
Funny Face,1957,3000000,103,7,1550
Funny Girl,1968,14100000,151,7,1668
Galaxy of the Dinosaurs,1992,1250,65,1,17
Galaxy Quest,1999,45000000,102,7,21131
Gallavants,1984,5000000,100,8,9
Gandhi,1982,22000000,188,8,14989
Gangs of New York,2002,97000000,166,7,32075
Gangster Story,1960,75000,65,4,21
Ganz und gar,2003,1400000,95,8,93
Garage Days,2002,6000000,105,5,519
Garden State,2004,2500000,109,8,17799
Garfield,2004,50000000,80,4,4022
Gattaca,1997,36000000,101,7,24454
Gentlemen Prefer Blondes,1928,352000,75,7,13
George of the Jungle,1997,55000000,92,5,6075
Gerry,2002,3500000,103,5,1751
Get a Job,1998,750000,93,2,20
Get Carter,2000,40000000,102,4,4611
Get on the Bus,1996,2400000,120,6,1081
Get Over It,2001,10000000,87,5,3350
Get Shorty,1995,30250000,105,7,13469
Gettysburg,1993,25000000,261,7,4940
Ghost,1990,22000000,128,6,18039
Ghost Busters,1984,30000000,107,7,28243
Ghost Ship,2002,35000000,91,5,7756
Ghost Town,1956,100000,77,4,10
Ghost World,2000,7000000,111,7,16926
Ghostbite,1996,250000,76,3,14
Ghosts of Mars,2001,28000000,98,4,5993
Ghosts of Mississippi,1996,36000000,130,6,2143
Ghoulies,1985,1000000,82,3,564
Giant,1956,5400000,201,7,3976
Gigi,1958,3319355,119,7,1835
Gigli,2003,54000000,121,2,11233
Ginger Snaps,2000,5000000,108,6,3606
Girl Crazy,1943,1140850,99,6,172
Girl Missing,1933,107000,69,6,31
Gladiator,2000,103000000,155,8,87106
Glitter,2001,22000000,104,2,5649
Gloria,1999,30000000,108,4,1094
Glory,1989,18000000,122,8,20894
Go,1999,6500000,103,7,19828
Go Fish,1994,15000,84,5,592
Goat on Fire and Smiling Fish,1999,40000,90,6,248
Gods and Generals,2003,56000000,231,5,2796
Gods and Monsters,1998,3500000,105,7,8693
Godspell,1973,1300000,103,5,557
Godzilla,1998,125000000,140,4,21735
Gog,1954,250000,85,4,66
Going Hollywood,1933,914000,78,6,98
Gojira,1954,1000000,98,6,1022
Gold Raiders,1951,50000,56,5,16
Golden Earrings,1947,1000000,95,6,115
GoldenEye,1995,80000000,130,6,21772
Goldfinger,1964,3000000,112,7,18889
Gone in Sixty Seconds,2000,90000000,117,5,23940
Gone with the Wind,1939,3900000,238,8,27414
Good Burger,1997,9000000,103,4,1541
Good News,1947,1662718,93,7,199
Good to Go,1986,1500000,90,3,15
Good Will Hunting,1997,10000000,126,7,58247
Goodfellas,1990,25000000,145,8,63911
Gosford Park,2001,15000000,137,7,15857
Gossip,1953,1000,10,4,5
Gothika,2003,40000000,98,5,9519
Grace of My Heart,1996,5000000,116,6,941
Grand Hotel,1932,700000,112,7,1676
Grand Prix,1966,9000000,179,6,917
Grand Slam,1933,164000,67,5,41
Grand Theft Auto,1977,602000,84,5,239
Gravesend,1997,65000,85,4,108
Graveyard Shift,1990,10500000,89,3,997
Grease,1978,6000000,110,6,21077
Green Fields,1937,8000,99,6,25
Greetings,1968,39000,88,5,305
Gremlins,1984,11000000,106,6,14245
Grimm,2003,3700000,103,6,165
Grizzly,1976,750000,97,4,215
Groom Lake,2002,750000,92,3,84
Groove,2000,1500000,86,6,1125
Grosse Pointe Blank,1997,15000000,107,7,19562
Grumpier Old Men,1995,25000000,101,6,3515
Guerra de Canudos,1997,6000000,170,7,122
Guinevere,1999,2600000,104,6,769
Gun Shy,2000,10000000,101,5,1609
Guncrazy,1992,800000,97,5,406
Gunga Din,1939,1910000,117,7,1802
Gunsmoke Ranch,1937,35000,53,5,8
Guys and Dolls,1955,5500000,150,7,1853
Gypsy,1962,4000000,143,7,637
Hacks,2002,200000,93,8,51
Hair,1979,11000000,121,6,4019
Hairspray,1988,2000000,92,6,2627
Half Past Dead,2002,30000000,98,3,1924
Halloween,1978,325000,91,7,18200
Halloween II,1981,2500000,92,5,4837
Hamlet,1996,18000000,242,7,9715
Hanging Up,2000,40000000,94,4,2984
Hannah and Her Sisters,1986,6400000,103,7,7229
Hannibal,2001,87000000,131,6,27286
Hans Christian Andersen,1952,4000000,112,6,446
Happiness,1998,3000000,134,7,11140
Happy Gilmore,1996,10000000,92,6,16664
Hard Ball,2001,21000000,106,6,2866
Hard Feelings,1982,4000000,105,6,7
Hard Rain,1998,70000000,97,5,5819
Hard to Handle,1933,189000,78,6,57
Hardware,1990,1500000,93,5,1263
Harold and Maude,1971,1200000,91,7,8730
Harper,1966,3500000,121,7,606
Harriet the Spy,1996,13000000,100,5,781
Harry Potter and the Chamber of Secrets,2002,100000000,161,7,35649
Harry Potter and the Prisoner of Azkaban,2004,130000000,141,7,22130
Harvard Man,2001,5500000,99,4,1074
Hatred of a Minute,2002,300000,83,5,86
Hav Plenty,1997,650000,92,5,246
Hawaii,1966,15000000,189,6,417
He Got Game,1998,25000000,136,6,3894
Head,1968,750000,86,6,1079
Head Over Heels,2001,14000000,86,4,2491
Heart of the North,1938,400000,83,5,10
Heartbeeps,1981,10000000,79,4,224
Heartbreakers,2001,40000000,123,6,7563
Hearts in Atlantis,2001,31000000,101,6,6217
Heat,1995,60000000,171,7,41462
Heat and Sunlight,1987,90000,98,4,17
Heaven,2002,11000000,96,7,3577
Heavenly Creatures,1994,5000000,99,7,10881
Heavy Metal,1981,9300000,86,6,4386
Hedwig and the Angry Inch,2001,6000000,95,7,5754
Held for Ransom,2000,5000000,88,4,130
Held Up,1999,8000000,89,4,520
Hell Is for Heroes,1962,2500000,90,7,571
Hell to Eternity,1960,800000,131,6,113
Hellboy,2004,66000000,122,6,13424
Henry V,1989,9000000,137,7,7971
Her Urge,2000,20000,15,5,10
Hercules,1997,70000000,92,6,4946
Here Comes the Groom,1951,2117000,113,5,106
Here on Earth,2000,15000000,96,4,2078
Hero,1992,42000000,117,6,4458
Heroes for Sale,1933,290000,76,6,62
Hidalgo,2004,78000000,136,6,6388
Hidden Assassin,1995,11000000,104,4,234
Hideaway,1995,15000000,106,5,1247
Hideous Kinky,1998,12000000,98,6,1533
High Anxiety,1977,3400000,94,6,2430
High Crimes,2002,42000000,115,6,5672
High Fidelity,2000,20000000,113,7,28218
High Noon,1952,730000,85,8,11919
High Sierra,1941,455000,100,7,1526
High Strung,1994,300000,93,6,365
Highlander,1986,16000000,116,7,17370
Highway to Hell,1992,9000000,94,5,390
His People,1925,93000,93,6,6
Hit and Runway,1999,1200000,108,6,179
Hit List,1989,1500000,87,5,55
Hocus Pocus,1993,28000000,96,5,3036
Hold That Ghost,1941,190000,86,7,367
Hold Your Man,1933,260000,87,6,148
Holes,2003,30000000,117,7,4833
Holiday Inn,1942,3200000,100,7,1083
Hollow Man,2000,95000000,112,5,15743
Hollywood Boulevard,1976,60000,83,4,107
Hollywood Cavalcade,1939,2000000,97,6,39
Hollywood Chainsaw Hookers,1988,23000,75,4,225
Hollywood Ending,2002,16000000,112,6,3415
Hollywood Homicide,2003,75000000,116,5,4802
Hollywood Shuffle,1987,100000,78,6,571
Holy Man,1998,60000000,114,4,3297
Home Alone,1990,15000000,103,6,20363
Home Fries,1998,15000000,91,4,2275
Home Movies,1979,400000,90,4,100
Home on the Range,2004,110000000,76,5,1237
Honey,2003,17000000,94,3,2684
Hong faan kui,1995,7500000,104,6,4424
Honky Tonk Freeway,1981,24000000,107,4,195
Hook,1991,70000000,144,5,18122
Hoop Dreams,1994,700000,170,7,4461
Hope Floats,1998,30000000,114,5,4206
Hopscotch,2004,1000,7,9,5
Hot Wax Zombies On Wheels,1999,160000,88,2,51
Hour of the Gun,1967,1800000,100,6,217
House,1986,3000000,93,5,1556
House of Dark Shadows,1970,750000,97,5,311
House of the Dead,2003,7000000,90,2,3314
House of Usher,1960,270000,79,6,964
House of Wax,1953,658000,90,6,1248
House on Haunted Hill,1959,200000,75,6,1479
House on Haunted Hill,1999,19000000,93,5,9163
How Green Was My Valley,1941,1250000,118,7,2513
How High,2001,12000000,93,4,2625
How I Saved the World,2001,40000,18,7,6
How Stella Got Her Groove Back,1998,20000000,124,5,1389
How the Grinch Stole Christmas,2000,123000000,104,5,11910
How the West Was Won,1962,14000000,162,6,1901
How to Steal a Million,1966,6000000,123,7,1539
Howard the Duck,1986,30000000,110,3,6322
Hsi yen,1993,1000000,106,7,2225
Hud,1963,2500000,112,7,2312
Hudson Hawk,1991,65000000,100,5,8426
Hukkle,2002,100000,75,6,399
Hungry Wives,1973,120000,130,4,186
Hurricane,1997,500000,86,6,408
Husbands,1970,1000000,154,6,349
Husbands and Wives,1992,20000000,108,7,3422
Hustlas,2002,1000000,90,5,5
I Am Sam,2001,22000000,132,7,9029
I Capture the Castle,2003,8000000,113,6,869
I Cover the War,1937,70000,68,4,16
I Dreamed of Africa,2000,34000000,114,5,1067
I Got the Hook Up,1998,3500000,93,3,393
I Heart Huckabees,2004,20000000,106,7,3472
I Know What You Did Last Summer,1997,17000000,100,5,15273
I Married a Monster from Outer Space,1958,175000,78,6,272
I Spy,2002,70000000,97,5,5121
I Still Know What You Did Last Summer,1998,24000000,100,4,9095
I Wanna Hold Your Hand,1978,2700000,104,6,503
I Was a Teenage Werewolf,1957,82000,76,4,360
Ice Age,2002,60000000,81,7,20471
Ice Cream Man,1995,2000000,84,4,326
Identity,2003,30000000,90,7,17126
Igby Goes Down,2002,9000000,97,7,7396
Imitation of Life,1959,2000000,125,7,1358
Impostor,2002,40000000,95,5,3067
In Cold Blood,1967,3500000,134,8,2271
In Dreams,1999,30000000,98,5,3516
In Old Amarillo,1951,184686,67,5,6
In Old Chicago,1937,1800000,96,7,138
In Person,1935,493000,87,5,42
In the Bedroom,2001,1700000,130,7,9765
In the Company of Men,1997,25000,97,7,3480
In the Cut,2003,12000000,119,5,3991
In the French Style,1963,750000,105,5,9
In the Heat of the Night,1967,2000000,109,8,6405
In the Line of Fire,1993,40000000,128,7,12348
In the Mouth of Madness,1995,14000000,95,6,4598
In the Shadows,2001,10000000,105,4,259
In the Woods,1999,252000,90,1,246
In This World,2002,1900000,88,7,715
In Too Deep,1999,7000000,95,5,931
Incident at Loch Ness,2004,1400000,94,6,106
Indecent Proposal,1993,38000000,117,5,6995
Independence Day,1996,75000000,145,6,59097
Indiana Jones and the Last Crusade,1989,48000000,127,8,59377
Indiana Jones and the Temple of Doom,1984,28000000,118,7,32740
Inferno,1980,3000000,107,6,1146
Innocent,2001,25000,16,7,8
Inside,2002,5000,8,7,29
Inside Daisy Clover,1965,4500000,128,6,323
Insight of Evil,2003,120000,80,4,9
Insomnia,2002,46000000,118,7,20800
Inspector Gadget,1999,75000000,78,4,5019
Inspiration,1931,438000,74,5,64
Instinct,1999,55000000,126,6,5985
Interiors,1978,10000000,93,7,1611
Intermission,2003,5000000,105,6,1608
Interview with the Assassin,2002,750000,88,6,385
Intruder,1988,100000,83,5,245
Invaders from Mars,1986,12000000,100,4,623
Invasion of the Blood Farmers,1972,40000,84,2,86
Invasion of the Body Snatchers,1956,417000,80,7,4956
Invasion of the Space Preachers,1990,100000,100,4,26
Invasion USA,1952,127000,73,3,117
Invisible Agent,1942,322000,81,5,61
Invisible Stripes,1939,500000,81,6,105
Invitation to the Dance,1956,1500000,93,6,77
Invitation to the Wedding,1985,8000000,90,4,5
Irma la Douce,1963,5000000,147,7,1816
Ish HaHashmal,2003,900000,90,4,6
Ishtar,1987,40000000,107,3,3374
Island in the Sky,1953,967000,109,5,92
Island in the Sun,1957,2250000,119,5,94
It Came from Hollywood,1982,5000000,80,5,230
It Came from Outer Space,1953,800000,81,6,720
It Happened One Night,1934,325000,105,8,7589
Jabberwocky,1977,500000,105,6,1972
Jack,1996,45000000,113,5,4881
Jack and the Beanstalk,1952,683000,78,5,243
Jack Frost,1998,50000000,101,4,1998
Jack of Diamonds,2001,1500000,84,1,6
Jackie Brown,1997,12000000,151,7,26856
Jackpot,2001,400000,97,4,202
Jade,1995,50000000,95,4,2279
Jakob the Liar,1999,15000000,120,5,2388
James and the Giant Peach,1996,38000000,79,6,2935
Jason and the Argonauts,1963,1000000,104,7,2262
Jason X,2001,14000000,93,4,5557
Jaws,1975,12000000,124,8,44632
Jay and Silent Bob Strike Back,2001,22000000,104,6,22771
Jeepers Creepers,2001,10000000,90,5,10321
Jefferson in Paris,1995,14000000,139,5,633
Jerry and Tom,1998,5000000,106,6,426
Jerry Maguire,1996,50000000,138,7,33020
Jersey Girl,2004,35000000,102,6,5598
Jesse James,1939,1600000,106,7,340
Jesus,1979,6000000,117,5,298
Jet Attack,1958,100000,68,3,32
Jezebel,1938,1250000,104,7,1081
JFK,1991,40000000,189,7,25660
Jimmy Hollywood,1994,20000000,112,5,705
Jing wu men,1972,100000,110,6,1508
Jingle All the Way,1996,60000000,88,4,5837
Jisatsu circle,2002,250000,99,6,1112
Jitterbugs,1943,310600,75,5,68
Jizda,1994,30000,90,7,189
Joe Dirt,2001,16000000,91,5,5092
Joe Somebody,2001,38000000,98,5,1810
John Q,2002,36000000,116,6,8216
Johnson Family Vacation,2004,12000000,97,3,712
Josh Jarman,2004,1300000,96,8,12
Josie and the Pussycats,2001,22000000,98,5,4250
Journey to the Seventh Planet,1962,74600,77,4,112
Joy,1983,2000000,102,5,48
Joy Ride,2001,23000000,97,6,7546
Judge Dredd,1995,90000000,96,4,9431
Judgment,2001,11000000,105,4,99
Judgment at Nuremberg,1961,3000000,186,8,3183
Jui kuen II,1994,2000000,102,7,4355
Jumanji,1995,65000000,104,6,13958
Jungle Fever,1991,14000000,132,6,2662
Junior,1985,350000,87,3,56
Jurassic Park,1993,63000000,127,7,54601
Jurassic Park III,2001,93000000,92,5,19438
Just Imagine,1930,250000,102,5,91
Just Looking,1999,3000000,97,6,411
Just Visiting,2001,40000000,88,5,2061
Kafka,1991,11000000,98,6,1655
Kagemusha,1980,6000000,179,7,3205
Kalifornia,1993,9000000,117,6,7650
Kangaroo Jack,2003,60000000,89,3,3396
Kansas City,1996,19000000,116,5,1021
Karakter,1997,4500000,122,7,2561
Keeping the Faith,2000,30000000,128,6,10780
Khwaab,2004,75000,90,8,5
Kicked in the Head,1997,4000000,87,4,255
Kids,1995,1500000,91,6,8524
Kiki,1931,810568,87,6,6
Kill Me Again,1989,4000000,94,6,618
Killer Klowns from Outer Space,1988,2000000,88,5,2527
Killer of Sheep,1977,100000,83,7,95
Killers,1997,100000,86,2,125
Killing Me Softly,2002,25000000,100,5,1623
Killing Zoe,1994,1500000,96,6,4543
Kimberly,1999,2000000,106,5,209
King Arthur,2004,90000000,126,5,11683
King Kong,1933,670000,100,7,9856
King Kong,1976,24000000,134,5,3039
King of the Hill,1993,8000000,109,7,1187
King of the Mountain,1981,2000000,90,3,47
Kingdom of the Spiders,1977,500000,97,5,447
Kingdom of the Vampire,1991,2500,70,6,7
Kingpin,1996,25000000,113,6,10042
Kinsey,2004,11000000,118,7,1872
Kismet,1944,3000000,100,6,93
Kismet,1955,2692960,113,5,187
Kiss of the Dragon,2001,25000000,98,6,7467
Kiss of the Tarantula,1976,200000,85,3,20
Kiss or Kill,1997,2000000,96,6,570
Kiss the Blood Off My Hands,1948,1100000,79,5,55
Kiss the Girls,1997,27000000,111,6,8572
Kissing Jessica Stein,2001,1000000,97,7,4041
Knock Off,1998,35000000,91,3,1855
Konga,1961,500000,90,3,116
Krasnaya palatka,1971,10000000,195,5,189
